class,degree,monomial,indices,coefficient,abs_coefficient,n_paths,exact
Benign,1,syn_count,15,-0.16647931230860757,0.16647931230860757,1,True
Benign,1,TCP,23,-0.12546201416627795,0.12546201416627795,1,True
Benign,1,ack_count,14,0.09198893307579781,0.09198893307579781,1,True
Benign,1,flow_duration,0,-0.08147987154404811,0.08147987154404811,1,True
Benign,1,fin_count,16,-0.06945699331644845,0.06945699331644845,1,True
Benign,1,Std,34,0.06727715214770753,0.06727715214770753,1,True
Benign,1,IAT,36,-0.06562026282724316,0.06562026282724316,1,True
Benign,1,Weight,42,-0.06561741272784391,0.06561741272784391,1,True
Benign,2,syn_flag_number x Weight,8-42,-0.04830333455868375,0.04830333455868375,2,True
Benign,2,syn_flag_number x IAT,8-36,-0.04804736820637,0.04804736820637,2,True
Benign,2,syn_flag_number x Min,8-31,-0.04742366006825398,0.04742366006825398,2,True
Benign,2,syn_flag_number x Number,8-37,-0.043469056714211265,0.043469056714211265,2,True
Benign,2,syn_flag_number x AVG,8-33,-0.03961955073405737,0.03961955073405737,2,True
Benign,2,syn_flag_number x Tot sum,8-30,-0.039399596049339104,0.039399596049339104,2,True
Benign,2,syn_flag_number x Max,8-32,-0.03777509814432531,0.03777509814432531,2,True
Benign,2,Duration x syn_flag_number,3-8,-0.03744226587094904,0.03744226587094904,2,True
Benign,3,Rate x psh_flag_number x ack_count,4-10-14,-0.007240548073468516,0.007240548073468516,6,True
Benign,3,Protocol Type x ack_count x ack_count,2-14-14,-0.007036167621388556,0.007036167621388556,3,True
Benign,3,syn_flag_number x ack_count x Weight,8-14-42,0.006980296762723636,0.006980296762723636,6,True
Benign,3,ack_count x ack_count x HTTPS,14-14-20,-0.006026732483504507,0.006026732483504507,3,True
Benign,3,ack_count x HTTPS x UDP,14-20-24,0.005976886992767661,0.005976886992767661,6,True
Benign,3,flow_duration x ack_count x HTTPS,0-14-20,-0.00563163437677022,0.00563163437677022,6,True
Benign,3,Duration x ack_count x Number,3-14-37,-0.005602181300611186,0.005602181300611186,6,True
Benign,3,ack_count x Number x Number,14-37-37,0.005318970796257854,0.005318970796257854,3,True
Benign,4,Protocol Type x Protocol Type x ack_count x ack_count,2-2-14-14,-0.0055454041240450775,0.0055454041240450775,6,True
Benign,4,flow_duration x Header_Length x ack_count x fin_count,0-1-14-16,-0.003893200317749227,0.003893200317749227,24,True
Benign,4,Protocol Type x ack_count x ack_count x Magnitue,2-14-14-38,0.0037646038757454797,0.0037646038757454797,12,True
Benign,4,Protocol Type x ack_count x ack_count x Weight,2-14-14-42,0.0037421036300368093,0.0037421036300368093,12,True
Benign,4,urg_count x rst_count x HTTP x HTTP,17-18-19-19,-0.0035253781216483004,0.0035253781216483004,12,True
Benign,4,Protocol Type x ack_count x ack_count x Tot sum,2-14-14-30,0.0034226991175148745,0.0034226991175148745,12,True
Benign,4,flow_duration x ack_count x urg_count x HTTPS,0-14-17-20,0.0034131545325945716,0.0034131545325945716,24,True
Benign,4,ack_count x syn_count x rst_count x Weight,14-15-18-42,0.0031197153261205163,0.0031197153261205163,24,True
BruteForce,1,HTTP,19,-0.1820169977649146,0.1820169977649146,1,True
