class,degree,monomial,indices,coefficient,abs_coefficient,n_paths,exact
Analysis,1,NUM_PKTS_1024_TO_1514_BYTES,30,-0.20342815556182337,0.20342815556182337,1,True
Analysis,1,DST_TO_SRC_SECOND_BYTES,19,-0.11743177778709508,0.11743177778709508,1,True
Analysis,1,ICMP_IPV4_TYPE,34,-0.09923712262144517,0.09923712262144517,1,True
Analysis,1,IN_PKTS,3,-0.07691995678135297,0.07691995678135297,1,True
Analysis,1,SRC_TO_DST_SECOND_BYTES,18,-0.0749064429136117,0.0749064429136117,1,True
Analysis,1,MAX_TTL,13,-0.06773970448394756,0.06773970448394756,1,True
Analysis,1,IN_BYTES,2,-0.06587471302555598,0.06587471302555598,1,True
Analysis,1,TCP_WIN_MAX_OUT,32,0.06483689946008821,0.06483689946008821,1,True
Analysis,2,NUM_PKTS_1024_TO_1514_BYTES x SRC_TO_DST_IAT_AVG,30-41,-0.048230902163716,0.048230902163716,2,True
Analysis,2,NUM_PKTS_512_TO_1024_BYTES x NUM_PKTS_1024_TO_1514_BYTES,29-30,0.04093502395927829,0.04093502395927829,2,True
Analysis,2,RETRANSMITTED_OUT_PKTS x NUM_PKTS_1024_TO_1514_BYTES,23-30,0.03820306928515121,0.03820306928515121,2,True
Analysis,2,DST_TO_SRC_SECOND_BYTES x NUM_PKTS_1024_TO_1514_BYTES,19-30,0.03512035350869985,0.03512035350869985,2,True
Analysis,2,NUM_PKTS_1024_TO_1514_BYTES x DST_TO_SRC_IAT_STDDEV,30-46,-0.030954110068600216,0.030954110068600216,2,True
Analysis,2,CLIENT_TCP_FLAGS x NUM_PKTS_1024_TO_1514_BYTES,7-30,-0.03050895566650144,0.03050895566650144,2,True
Analysis,2,NUM_PKTS_1024_TO_1514_BYTES x FTP_COMMAND_RET_CODE,30-38,-0.02905730254371554,0.02905730254371554,2,True
Analysis,2,NUM_PKTS_1024_TO_1514_BYTES x DST_TO_SRC_IAT_AVG,30-45,-0.028651773229079698,0.028651773229079698,2,True
Analysis,3,L7_PROTO x RETRANSMITTED_OUT_PKTS x ICMP_TYPE,1-23-33,-0.004798795711325536,0.004798795711325536,6,True
Analysis,3,L7_PROTO x OUT_BYTES x RETRANSMITTED_OUT_PKTS,1-4-23,-0.004571784699446934,0.004571784699446934,6,True
Analysis,3,L7_PROTO x RETRANSMITTED_OUT_PKTS x NUM_PKTS_128_TO_256_BYTES,1-23-27,-0.0043390647560076975,0.0043390647560076975,6,True
Analysis,3,L7_PROTO x SERVER_TCP_FLAGS x RETRANSMITTED_OUT_PKTS,1-8-23,-0.004148186747582608,0.004148186747582608,6,True
Analysis,3,L7_PROTO x RETRANSMITTED_OUT_PKTS x DST_TO_SRC_IAT_MAX,1-23-44,-0.0036331585310113395,0.0036331585310113395,6,True
Analysis,3,PROTOCOL x L7_PROTO x RETRANSMITTED_OUT_PKTS,0-1-23,-0.0035863094052459624,0.0035863094052459624,6,True
Analysis,3,L7_PROTO x RETRANSMITTED_OUT_PKTS x DST_TO_SRC_IAT_STDDEV,1-23-46,0.0035284636654609094,0.0035284636654609094,6,True
Analysis,3,NUM_PKTS_512_TO_1024_BYTES x NUM_PKTS_1024_TO_1514_BYTES x SRC_TO_DST_IAT_AVG,29-30-41,-0.003468785326337706,0.003468785326337706,6,True
Analysis,4,DST_TO_SRC_SECOND_BYTES x RETRANSMITTED_OUT_PKTS x NUM_PKTS_128_TO_256_BYTES x NUM_PKTS_128_TO_256_BYTES,19-23-27-27,-0.0013806895177572106,0.0013806895177572106,12,True
Analysis,4,RETRANSMITTED_OUT_PKTS x NUM_PKTS_128_TO_256_BYTES x NUM_PKTS_128_TO_256_BYTES x FTP_COMMAND_RET_CODE,23-27-27-38,-0.0013404937051163426,0.0013404937051163426,12,True
Analysis,4,DST_TO_SRC_SECOND_BYTES x RETRANSMITTED_OUT_PKTS x NUM_PKTS_128_TO_256_BYTES x FTP_COMMAND_RET_CODE,19-23-27-38,-0.0012676506060094873,0.0012676506060094873,24,True
Analysis,4,L7_PROTO x RETRANSMITTED_OUT_BYTES x NUM_PKTS_128_TO_256_BYTES x ICMP_IPV4_TYPE,1-22-27-34,0.0012505013266393746,0.0012505013266393746,24,True
Analysis,4,RETRANSMITTED_OUT_PKTS x NUM_PKTS_128_TO_256_BYTES x ICMP_IPV4_TYPE x FTP_COMMAND_RET_CODE,23-27-34-38,-0.0012409867021146359,0.0012409867021146359,24,True
Analysis,4,RETRANSMITTED_OUT_PKTS x NUM_PKTS_512_TO_1024_BYTES x ICMP_IPV4_TYPE x SRC_TO_DST_IAT_AVG,23-29-34-41,0.001203563202765986,0.001203563202765986,24,True
Analysis,4,L7_PROTO x DST_TO_SRC_SECOND_BYTES x NUM_PKTS_128_TO_256_BYTES x NUM_PKTS_1024_TO_1514_BYTES,1-19-27-30,0.0011929213500471323,0.0011929213500471323,24,True
Analysis,4,SERVER_TCP_FLAGS x NUM_PKTS_128_TO_256_BYTES x NUM_PKTS_512_TO_1024_BYTES x ICMP_IPV4_TYPE,8-27-29-34,0.0011712427350949687,0.0011712427350949687,24,True
Backdoor,1,NUM_PKTS_256_TO_512_BYTES,28,-0.08247986088787757,0.08247986088787757,1,True
Backdoor,1,SERVER_TCP_FLAGS,8,-0.08006486439225217,0.08006486439225217,1,True
Backdoor,1,PROTOCOL,0,0.07414907852089506,0.07414907852089506,1,True
Backdoor,1,SRC_TO_DST_AVG_THROUGHPUT,24,-0.06855075052898262,0.06855075052898262,1,True
Backdoor,1,L7_PROTO,1,-0.055736485836329126,0.055736485836329126,1,True
Backdoor,1,FTP_COMMAND_RET_CODE,38,0.053795901240373985,0.053795901240373985,1,True
Backdoor,1,SRC_TO_DST_IAT_AVG,41,0.05284699419522795,0.05284699419522795,1,True
Backdoor,1,DST_TO_SRC_SECOND_BYTES,19,-0.04779874259409692,0.04779874259409692,1,True
Backdoor,2,RETRANSMITTED_OUT_PKTS x NUM_PKTS_128_TO_256_BYTES,23-27,-0.014085534447873818,0.014085534447873818,2,True
Backdoor,2,LONGEST_FLOW_PKT x NUM_PKTS_256_TO_512_BYTES,14-28,-0.00900884143696725,0.00900884143696725,2,True
Backdoor,2,RETRANSMITTED_OUT_BYTES x NUM_PKTS_128_TO_256_BYTES,22-27,-0.008757811190945751,0.008757811190945751,2,True
Backdoor,2,NUM_PKTS_128_TO_256_BYTES x ICMP_IPV4_TYPE,27-34,0.008250716902551632,0.008250716902551632,2,True
Backdoor,2,DST_TO_SRC_AVG_THROUGHPUT x NUM_PKTS_256_TO_512_BYTES,25-28,-0.008083326352446771,0.008083326352446771,2,True
Backdoor,2,MAX_TTL x NUM_PKTS_256_TO_512_BYTES,13-28,-0.007144840484876325,0.007144840484876325,2,True
Backdoor,2,RETRANSMITTED_OUT_BYTES x NUM_PKTS_512_TO_1024_BYTES,22-29,0.006403212220699889,0.006403212220699889,2,True
Backdoor,2,NUM_PKTS_128_TO_256_BYTES x NUM_PKTS_512_TO_1024_BYTES,27-29,-0.006206014635102536,0.006206014635102536,2,True
Backdoor,3,RETRANSMITTED_OUT_PKTS x NUM_PKTS_128_TO_256_BYTES x NUM_PKTS_128_TO_256_BYTES,23-27-27,0.0036955713149384502,0.0036955713149384502,3,True
Backdoor,3,RETRANSMITTED_IN_PKTS x RETRANSMITTED_OUT_PKTS x NUM_PKTS_128_TO_256_BYTES,21-23-27,-0.002142710972722465,0.002142710972722465,6,True
Backdoor,3,RETRANSMITTED_OUT_PKTS x NUM_PKTS_128_TO_256_BYTES x FTP_COMMAND_RET_CODE,23-27-38,0.0020594333592676337,0.0020594333592676337,6,True
Backdoor,3,PROTOCOL x L7_PROTO x ICMP_TYPE,0-1-33,-0.0020332532324272637,0.0020332532324272637,6,True
Backdoor,3,PROTOCOL x L7_PROTO x OUT_BYTES,0-1-4,-0.0019596569193870944,0.0019596569193870944,6,True
Backdoor,3,DURATION_OUT x RETRANSMITTED_OUT_PKTS x NUM_PKTS_128_TO_256_BYTES,11-23-27,-0.0017479207770242453,0.0017479207770242453,6,True
Backdoor,3,L7_PROTO x OUT_BYTES x ICMP_TYPE,1-4-33,-0.0017469014510012911,0.0017469014510012911,6,True
Backdoor,3,RETRANSMITTED_OUT_PKTS x NUM_PKTS_128_TO_256_BYTES x ICMP_TYPE,23-27-33,-0.0017433560970529557,0.0017433560970529557,6,True
