Attack,N,I_deg1,I_deg2,share_deg1,share_deg2,dominant,effective_degree
Analysis,580,4.069560527801514,1.926123857498169,0.6787482500076294,0.32125169038772583,deg1,1.321251630783081
Backdoor,1009,0.39895474910736084,0.8905600309371948,0.3093836307525635,0.6906163692474365,deg2,1.6906163692474365
Benign,627116,12.08303451538086,4.069263458251953,0.7480690479278564,0.25193092226982117,deg1,1.2519308924674988
DoS,2481,1.1060417890548706,0.7451838254928589,0.5974646210670471,0.4025353789329529,deg1,1.4025353789329529
Exploits,19794,2.0948257446289062,1.2979923486709595,0.6174294352531433,0.3825705945491791,deg1,1.3825706243515015
Fuzzers,12449,2.5548665523529053,3.5483016967773438,0.41861313581466675,0.5813868045806885,deg2,1.5813867449760437
Generic,2631,1.2557861804962158,0.7743290662765503,0.6185787916183472,0.3814212679862976,deg1,1.3814213275909424
Reconnaissance,6143,1.0481140613555908,0.612120509147644,0.6313048005104065,0.3686951994895935,deg1,1.3686951994895935
Shellcode,610,1.6070359945297241,0.831206738948822,0.6590960025787354,0.34090402722358704,deg1,1.3409040570259094
Worms,67,4.296634674072266,5.530782699584961,0.4372089207172394,0.5627910494804382,deg2,1.5627910196781158
ALL,672880,11.394681930541992,3.911998748779297,0.7444254159927368,0.2555745840072632,deg1,1.2555745840072632
