Attack,N,I_deg1,I_deg2,I_deg3,share_deg1,share_deg2,share_deg3,dominant,effective_degree
Analysis,580,2.230196714401245,2.2701098918914795,2.024104356765747,0.3418234586715698,0.34794095158576965,0.31023555994033813,deg2,1.9684120416641235
Backdoor,1009,0.6868399977684021,2.2236742973327637,0.8008325099945068,0.185064896941185,0.599155604839325,0.21577948331832886,deg2,2.0307145565748215
Benign,627116,4.478397369384766,4.594014644622803,1.1810026168823242,0.43677130341529846,0.4480472803115845,0.11518139392137527,deg2,1.6784100458025932
DoS,2481,0.24328632652759552,1.5940927267074585,1.0012229681015015,0.08570639044046402,0.5615766644477844,0.35271692276000977,deg2,2.267010487616062
Exploits,19794,1.4870818853378296,1.1061310768127441,0.8512930274009705,0.43172571063041687,0.32112908363342285,0.2471451610326767,deg1,1.8154193609952927
Fuzzers,12449,2.284637212753296,1.2579230070114136,2.350210189819336,0.38770171999931335,0.21346886456012726,0.3988294303417206,deg3,2.0111277401447296
Generic,2631,0.7312541604042053,0.9136155247688293,0.941371738910675,0.2827478349208832,0.35325995087623596,0.36399221420288086,deg3,2.0812443792819977
Reconnaissance,6143,0.4143228828907013,0.5736647248268127,1.1391226053237915,0.1947820484638214,0.269692063331604,0.535525918006897,deg3,2.3407439291477203
Shellcode,610,0.5472459197044373,1.1193352937698364,0.9983437657356262,0.2053513526916504,0.4200250804424286,0.3746235966682434,deg2,2.169272303581238
Worms,67,2.3204891681671143,1.8838796615600586,5.910309791564941,0.22941799461841583,0.18625205755233765,0.5843299627304077,deg3,2.3549119979143143
ALL,672880,4.27104377746582,4.358558654785156,1.191414475440979,0.4348881244659424,0.44379910826683044,0.12131273746490479,deg2,1.6864245533943176
