Attack,N,I_deg1,I_deg2,I_deg3,I_deg4,share_deg1,share_deg2,share_deg3,share_deg4,dominant,effective_degree
Analysis,580,0.6602120995521545,0.1626727133989334,1.1528149843215942,0.562793493270874,0.2600803077220917,0.06408239156007767,0.4541335701942444,0.22170376777648926,deg3,2.637460872530937
Backdoor,1009,0.9572850465774536,1.14610755443573,0.6869802474975586,1.2137305736541748,0.23907598853111267,0.28623324632644653,0.17156904935836792,0.3031216561794281,deg4,2.538736253976822
Benign,627116,1.8935960531234741,1.6637318134307861,7.9479546546936035,2.9808545112609863,0.13071779906749725,0.11484992504119873,0.5486593246459961,0.20577290654182434,deg3,2.8294872492551804
DoS,2481,0.29888683557510376,0.6131047606468201,0.9095595479011536,1.084595799446106,0.1028464287519455,0.2109682559967041,0.3129778206348419,0.3732074797153473,deg4,2.9565463215112686
Exploits,19794,0.6494064927101135,0.44241321086883545,0.8569929599761963,1.0399363040924072,0.2172837108373642,0.1480262130498886,0.28673967719078064,0.34795036911964417,deg4,2.76535664498806
Fuzzers,12449,1.633729100227356,0.7374944686889648,0.8076306581497192,2.059865713119507,0.31185653805732727,0.1407776027917862,0.15416565537452698,0.39320018887519836,deg4,2.628709465265274
Generic,2631,0.2973187267780304,0.5726785659790039,1.189727783203125,1.4789669513702393,0.08401938527822495,0.16183340549468994,0.33620551228523254,0.417941689491272,deg4,3.0880694910883904
Reconnaissance,6143,0.617318868637085,0.6291742920875549,0.6043838262557983,1.0083967447280884,0.21590058505535126,0.22004689276218414,0.21137669682502747,0.35267582535743713,deg4,2.7008277624845505
Shellcode,610,0.4537494480609894,1.022412896156311,0.6121648550033569,1.102241039276123,0.14221587777137756,0.32044851779937744,0.19186703860759735,0.34546858072280884,deg4,2.74058835208416
Worms,67,1.7442210912704468,0.7419780492782593,2.0146255493164062,2.9798638820648193,0.23316316306591034,0.09918578714132309,0.2693101465702057,0.3983408212661743,deg4,2.832828462123871
ALL,672880,1.8246278762817383,1.5903403759002686,7.46385383605957,2.8694112300872803,0.13271725177764893,0.11567597836256027,0.542895495891571,0.20871126651763916,deg3,2.8276007622480392
