Attack,N,I_deg1,I_deg2,I_deg3,I_deg4,I_deg5,I_deg6,share_deg1,share_deg2,share_deg3,share_deg4,share_deg5,share_deg6,dominant,effective_degree
Analysis,580,0.6283158659934998,0.20659063756465912,2.169330358505249,1.3295881748199463,0.4557374119758606,0.7216697931289673,0.1140064150094986,0.037485379725694656,0.3936198353767395,0.24125060439109802,0.0826924666762352,0.13094526529312134,deg3,3.5339730232954025
Backdoor,1009,1.1423269510269165,1.0821340084075928,0.5777768492698669,0.6874329447746277,0.703981339931488,1.5743155479431152,0.1980466991662979,0.18761096894741058,0.10016991943120956,0.11918113380670547,0.12205015122890472,0.27294111251831055,deg6,3.5984003618359566
Benign,627116,1.3642653226852417,2.652952194213867,3.705742120742798,3.878749370574951,3.9295198917388916,1.6074154376983643,0.0796017050743103,0.15479357540607452,0.216221421957016,0.22631599009037018,0.2292783260345459,0.09378894418478012,deg5,3.6522423774003983
DoS,2481,0.24981360137462616,0.4396730661392212,0.7956253290176392,0.436943918466568,1.2539973258972168,1.3083786964416504,0.05570685863494873,0.09804432094097137,0.17741942405700684,0.09743573516607285,0.279633492231369,0.2917602062225342,deg6,4.3225254118442535
Exploits,19794,0.38837575912475586,0.43228277564048767,0.7088702917098999,0.643937885761261,1.2043161392211914,1.0901710987091064,0.08692475408315659,0.09675184637308121,0.15865658223628998,0.14412367343902588,0.2695453464984894,0.24399785697460175,deg5,4.14460676163435
Fuzzers,12449,2.161963701248169,0.3448520004749298,0.7524548768997192,1.940277099609375,1.1714258193969727,1.4053550958633423,0.2780185639858246,0.04434637725353241,0.09676222503185272,0.24951069056987762,0.15063996613025665,0.1807221919298172,deg1,3.4925737380981445
Generic,2631,0.28960612416267395,0.4324136972427368,0.916051983833313,1.4689114093780518,0.5922499895095825,2.245556592941284,0.04871595650911331,0.07273826748132706,0.15409325063228607,0.24709223210811615,0.09962505102157593,0.3777352273464203,deg6,4.409377790987492
Reconnaissance,6143,0.18264341354370117,0.5406681299209595,0.3062034547328949,0.7941605448722839,0.5502541065216064,2.703191041946411,0.035973817110061646,0.1064910888671875,0.06031045317649841,0.15641947090625763,0.10837916284799576,0.5324259996414185,deg6,4.792017050087452
Shellcode,610,0.364169716835022,0.5817558169364929,0.7459681034088135,0.714506208896637,0.5605000257492065,2.517317295074463,0.06640322506427765,0.10607818514108658,0.13602088391780853,0.13028408586978912,0.10220237821340561,0.4590112268924713,deg6,4.472837843000889
Worms,67,1.4789507389068604,0.6852283477783203,2.357419013977051,2.1775460243225098,0.5977484583854675,2.0791473388671875,0.15773725509643555,0.07308292388916016,0.2514301538467407,0.2322458177804947,0.06375276297330856,0.2217511236667633,deg3,3.6364473924040794
ALL,672880,1.3293551206588745,2.5022599697113037,3.501438856124878,3.687432289123535,3.7333431243896484,1.5999165773391724,0.08128749579191208,0.1530083566904068,0.2141062170267105,0.2254793643951416,0.2282867133617401,0.09783180803060532,deg5,3.659964732825756
