Attack,N,I_deg1,I_deg2,I_deg3,I_deg4,share_deg1,share_deg2,share_deg3,share_deg4,dominant,effective_degree
Analysis,580,11.277641296386719,10.54200267791748,0.13811767101287842,2.9306766986846924,0.4531277120113373,0.42357027530670166,0.005549470894038677,0.11775252968072891,deg1,1.7879267940297723
Backdoor,1009,1.763168454170227,7.647563457489014,1.1372151374816895,1.8659493923187256,0.14203183352947235,0.6160485744476318,0.09160823374986649,0.15031133592128754,deg2,2.2501990273594856
Benign,627116,5.718130588531494,4.323562145233154,0.608756422996521,4.868481159210205,0.36846163868904114,0.27859923243522644,0.039226699620485306,0.3137124180793762,deg1,2.298189874738455
DoS,2481,1.9155901670455933,3.251650094985962,1.0943366289138794,1.845104455947876,0.23629771173000336,0.40110746026039124,0.13499194383621216,0.22760294377803802,deg2,2.3539002388715744
Exploits,19794,1.7000786066055298,0.5649434328079224,0.8806421160697937,2.2190072536468506,0.31690263748168945,0.10530810803174973,0.16415582597255707,0.4136333763599396,deg4,2.6745198369026184
Fuzzers,12449,1.0724130868911743,3.8520939350128174,0.5201708674430847,2.2612011432647705,0.1391681730747223,0.4998902678489685,0.06750311702489853,0.2934384346008301,deg2,2.515211798250675
Generic,2631,2.9668800830841064,2.6025450229644775,1.5291868448257446,2.2030882835388184,0.3189610242843628,0.2797923982143402,0.16439862549304962,0.2368479073047638,deg1,2.3191333264112473
Reconnaissance,6143,14.923454284667969,1.0384371280670166,1.9961228370666504,1.9430943727493286,0.7498805522918701,0.052179865539073944,0.10030210018157959,0.09763749688863754,deg1,1.545696571469307
Shellcode,610,4.001312732696533,1.5925333499908447,1.8933497667312622,2.0627992153167725,0.4189858138561249,0.1667574942111969,0.19825661182403564,0.2160000205039978,deg1,2.211270719766617
Worms,67,10.779973983764648,15.061379432678223,1.2394933700561523,4.15416955947876,0.34512463212013245,0.48219531774520874,0.03968281298875809,0.13299718499183655,deg2,1.9605524465441704
ALL,672880,5.571051597595215,4.172537326812744,0.6347846388816833,4.685241222381592,0.3698349595069885,0.27699440717697144,0.042140256613492966,0.3110303282737732,deg1,2.294365856796503
