Attack,N,I_deg1,I_deg2,I_deg3,I_deg4,I_mlp,share_deg1,share_deg2,share_deg3,share_deg4,share_mlp,dominant,effective_degree
Analysis,580,0.7743306159973145,0.03589511290192604,0.19506677985191345,0.4751944839954376,0.7881218791007996,0.34132400155067444,0.015822522342205048,0.0859851986169815,0.2094651460647583,0.3474031686782837,mlp,2.250677701085806
Backdoor,1009,1.3553004264831543,0.41463756561279297,0.3808300495147705,0.39511916041374207,1.529500126838684,0.33255743980407715,0.10174187272787094,0.09344634413719177,0.09695253521203995,0.3753017783164978,mlp,1.9276354312896729
Benign,627116,4.1692023277282715,1.059097170829773,4.511062145233154,3.2999675273895264,3.65412974357605,0.24975065886974335,0.06344384700059891,0.2702293395996094,0.1976802796125412,0.21889591217041016,deg3,2.5323735922574997
DoS,2481,1.376685619354248,0.27351734042167664,0.5895683169364929,0.3553643226623535,1.733755111694336,0.3180227279663086,0.06318416446447372,0.13619385659694672,0.0820913091301918,0.40050792694091797,mlp,1.9705645740032196
Exploits,19794,0.28497806191444397,0.7363068461418152,0.414438933134079,0.3722958266735077,1.7819572687149048,0.07938158512115479,0.20510071516036987,0.11544334143400192,0.10370423644781113,0.4963701069355011,mlp,2.4834307730197906
Fuzzers,12449,2.10856294631958,0.3611338138580322,0.35592782497406006,1.2846466302871704,1.3784929513931274,0.3841598927974701,0.06579510867595673,0.06484662741422653,0.23405025899410248,0.25114816427230835,deg1,2.1986872777342796
Generic,2631,0.553472101688385,0.36783674359321594,0.5192452669143677,0.49992358684539795,2.008774757385254,0.14014603197574615,0.0931408479809761,0.1314793825149536,0.1265868842601776,0.5086467862129211,mlp,2.4976198971271515
Reconnaissance,6143,0.24225731194019318,0.8517636060714722,0.22956933081150055,0.3920619487762451,1.1487243175506592,0.08457592874765396,0.29736438393592834,0.08014634996652603,0.13687513768672943,0.40103816986083984,mlp,2.4496458619832993
Shellcode,610,0.5486723780632019,0.5948726534843445,0.3529996871948242,0.32581058144569397,1.252629280090332,0.1784309446811676,0.19345548748970032,0.11479721963405609,0.10595519095659256,0.40736114978790283,mlp,2.2501974403858185
Worms,67,0.29178357124328613,0.3221995532512665,0.5866413116455078,1.155229926109314,2.4769678115844727,0.0603753961622715,0.0666690245270729,0.12138690054416656,0.2390383630990982,0.5125302672386169,mlp,3.1058905869722366
ALL,672880,3.945718288421631,1.0268536806106567,4.230449676513672,3.1185059547424316,3.5126171112060547,0.24919049441814423,0.0648505911231041,0.26717260479927063,0.19694818556308746,0.22183813154697418,deg3,2.529296651482582
