Variant,Attack,N,Recall,Precision,PR-AUC
hgb,Analysis,580,0.9603448275862069,0.24143909839618552,0.24660406653153402
hgb,Backdoor,1009,0.2091179385530228,0.04364915184112536,0.055519829968076646
hgb,Benign,627116,0.9999298375420177,0.9999968105837589,0.999997960149521
hgb,DoS,2481,0.3913744457879887,0.24208426826227875,0.2844761881390165
hgb,Exploits,19794,0.5041931898555118,0.9279404927940493,0.8584801931912565
hgb,Fuzzers,12449,0.7220660293999518,0.6753568745304283,0.6858526885315921
hgb,Generic,2631,0.5431394906879513,0.47506648936170215,0.5432397321648094
hgb,Reconnaissance,6143,0.5205925443594335,0.6889271865575183,0.6550051743216883
hgb,Shellcode,610,0.7426229508196721,0.15995762711864406,0.45403130100209005
hgb,Worms,67,0.8805970149253731,0.5514018691588785,0.615290123911106
