Variant,Attack,N,Recall,Precision,PR-AUC
logreg,Analysis,580,0.9913793103448276,0.1580104424292388,0.22506547481898506
logreg,Backdoor,1009,0.06640237859266601,0.01563229118058796,0.02018021953479389
logreg,Benign,627116,0.9986764809062438,0.9999840331089452,0.9999625129539049
logreg,DoS,2481,0.11688835147118097,0.14285714285714285,0.08979765670197165
logreg,Exploits,19794,0.3738506618167121,0.8891024870839841,0.6768126390331111
logreg,Fuzzers,12449,0.5500040163868584,0.6004033672395651,0.5852600268581993
logreg,Generic,2631,0.38920562523755226,0.31950078003120125,0.25430630090704825
logreg,Reconnaissance,6143,0.48868630962070647,0.46752842236411774,0.45831550367308127
logreg,Shellcode,610,0.759016393442623,0.09495488105004102,0.23351339649504996
logreg,Worms,67,0.8805970149253731,0.024583333333333332,0.11196697835985783
