Variant,Attack,N,Recall,Precision,PR-AUC
m4,Analysis,580,0.9810344827586207,0.204529115744069,0.24854909975711584
m4,Backdoor,1009,0.10703666997026759,0.03740907516453065,0.02759372994910971
m4,Benign,627116,0.999762404403651,0.9999968100496197,0.9999941268702872
m4,DoS,2481,0.2503022974607013,0.16498405951115835,0.14682987748010262
m4,Exploits,19794,0.4367485096493887,0.8976222614474094,0.788677229819674
m4,Fuzzers,12449,0.6248694674271026,0.6528745279060009,0.6300938069772972
m4,Generic,2631,0.43557582668187,0.33198146002317497,0.3851980817227076
m4,Reconnaissance,6143,0.5328015627543545,0.5102104442712393,0.5140144006338991
m4,Shellcode,610,0.7098360655737705,0.14085881587508134,0.23761686323461112
m4,Worms,67,0.9402985074626866,0.03164239075841286,0.39073622440450023
