Variant,Attack,N,Recall,Precision,PR-AUC
m4g,Analysis,580,0.9775862068965517,0.20723684210526316,0.24634319961128623
m4g,Backdoor,1009,0.10109018830525272,0.030918460139436194,0.028580617786658963
m4g,Benign,627116,0.9997751612141932,0.999985645566713,0.99999428088412
m4g,DoS,2481,0.230149133413946,0.16560324825986078,0.1401405526324153
m4g,Exploits,19794,0.42684651914721633,0.9045070120972059,0.7804178014574004
m4g,Fuzzers,12449,0.6269579885934613,0.6543975853106397,0.6463759545439915
m4g,Generic,2631,0.44811858608893956,0.3144,0.3700541544276512
m4g,Reconnaissance,6143,0.5178251668565848,0.5265684489322959,0.5462626401874533
m4g,Shellcode,610,0.7262295081967213,0.1298358733880422,0.24339651746479643
m4g,Worms,67,0.9552238805970149,0.032955715756951595,0.3839293901105765
