Variant,Attack,N,Recall,Precision,PR-AUC
m4m,Analysis,580,0.9879310344827587,0.21019809244314014,0.24352633304643237
m4m,Backdoor,1009,0.17938553022794845,0.04446082043723901,0.047990750183392494
m4m,Benign,627116,0.9998086478418666,0.9999952153033737,0.9999911511314088
m4m,DoS,2481,0.28053204353083433,0.1820559769814282,0.19544992124930016
m4m,Exploits,19794,0.44134586238254014,0.9252277059944927,0.8311389274843509
m4m,Fuzzers,12449,0.6648726805365893,0.6537914691943127,0.6451000966881396
m4m,Generic,2631,0.5020904599011783,0.3700280112044818,0.43943776517818467
m4m,Reconnaissance,6143,0.51391828097021,0.6150399376582895,0.6278431532466567
m4m,Shellcode,610,0.7442622950819672,0.13609112709832133,0.35503378441103783
m4m,Worms,67,0.9701492537313433,0.05803571428571429,0.5923450769592858
