Variant,Attack,N,Recall,Precision,PR-AUC
nn_mlp,Analysis,580,0.9913793103448276,0.20550393137955683,0.20669998960033495
nn_mlp,Backdoor,1009,0.19028741328047571,0.04780876494023904,0.05156365450738755
nn_mlp,Benign,627116,0.9997368907825666,0.9999936199567752,0.9999876952619623
nn_mlp,DoS,2481,0.2704554615074567,0.18675201781241302,0.19876336442315423
nn_mlp,Exploits,19794,0.4396281701525715,0.9289069171648164,0.8335667418432016
nn_mlp,Fuzzers,12449,0.6926660775965942,0.6458692232791551,0.6427488132320337
nn_mlp,Generic,2631,0.492208285822881,0.37106017191977075,0.4510622981044653
nn_mlp,Reconnaissance,6143,0.512778772586684,0.6613478899853034,0.6522196937267184
nn_mlp,Shellcode,610,0.7442622950819672,0.1313277408157362,0.35105332015597895
nn_mlp,Worms,67,0.9552238805970149,0.05876951331496786,0.626301477064462
