Variant,Attack,N,Recall,Precision,PR-AUC
rf,Analysis,580,0.9586206896551724,0.238013698630137,0.2503228381400421
rf,Backdoor,1009,0.16154608523290387,0.0586964350018005,0.08072433030228329
rf,Benign,627116,0.9999107023262044,0.9999984052588186,0.9999999125280001
rf,DoS,2481,0.3550987505038291,0.33664501337409247,0.30790435289598816
rf,Exploits,19794,0.6280691118520764,0.9058583503351793,0.8627456408608047
rf,Fuzzers,12449,0.7954855811711784,0.668579530110721,0.7002838558932407
rf,Generic,2631,0.5629038388445458,0.5624762628180783,0.5638210581590979
rf,Reconnaissance,6143,0.5074068044929188,0.6966919982118909,0.6556878116354465
rf,Shellcode,610,0.7245901639344262,0.18945563651950278,0.4092643645366872
rf,Worms,67,0.9104477611940298,0.5398230088495575,0.6593215937778566
