Attack,N,features,recall_base,recall_shuffled,drop_self,drop_other_mean,selectivity,ctrl_drop_mean,ctrl_drop_std,z_vs_control,p_empirical,causal
Analysis,172,"NUM_PKTS_1024_TO_1514_BYTES, DST_TO_SRC_IAT_AVG, CLIENT_TCP_FLAGS",0.9883720930232558,0.38372093023255816,0.6046511627906976,0.12645799247155576,0.4781931703191419,0.325,0.2829197848351416,0.9884468240835522,0.16,False
Backdoor,300,"NUM_PKTS_256_TO_512_BYTES, NUM_PKTS_128_TO_256_BYTES, RETRANSMITTED_OUT_BYTES",0.12333333333333334,0.15333333333333332,-0.029999999999999985,0.31054578320785176,-0.3405457832078517,0.03426666666666667,0.04669066049840993,-1.3764351581373597,0.94,False
Benign,186398,"MIN_TTL, IN_BYTES, DST_TO_SRC_AVG_THROUGHPUT",0.9997693108295154,0.8691509565553278,0.13061835427418755,0.38467805805744565,-0.2540597037832581,0.06463535016470136,0.04103603263073125,1.6079284443319344,0.06,False
DoS,737,"SRC_TO_DST_SECOND_BYTES, NUM_PKTS_128_TO_256_BYTES, SRC_TO_DST_IAT_STDDEV",0.23066485753052918,0.5712347354138398,-0.34056987788331067,0.3627468856451109,-0.7033167635284215,-0.010284938941655355,0.056697646098524464,-5.825373038727456,1.0,False
Exploits,5883,"L7_PROTO, RETRANSMITTED_OUT_PKTS, SRC_TO_DST_IAT_AVG",0.44025157232704404,0.4285228624851266,0.011728709841917428,0.2725615484134569,-0.2608328385715395,0.08872684004759479,0.06368388434446541,-1.2090677413644455,0.92,False
Fuzzers,3700,"SRC_TO_DST_SECOND_BYTES, RETRANSMITTED_OUT_PKTS, NUM_PKTS_128_TO_256_BYTES",0.6243243243243243,0.04243243243243243,0.5818918918918918,0.254998608697278,0.32689328319461386,0.2651729729729729,0.17053008928441735,1.8572612038611067,0.06,False
Generic,782,"DNS_QUERY_ID, L7_PROTO, MIN_IP_PKT_LEN",0.4398976982097187,0.3554987212276215,0.0843989769820972,0.2176086870858652,-0.133209710103768,0.05168797953964197,0.07525967760799003,0.43464174285783047,0.3,False
Reconnaissance,1826,"MAX_TTL, DST_TO_SRC_IAT_MAX, NUM_PKTS_512_TO_1024_BYTES",0.5350492880613362,0.7250821467688937,-0.19003285870755748,0.18995748724179798,-0.37999034594935543,0.14246440306681268,0.2162337374974894,-1.5376752287705828,0.98,False
Shellcode,181,"RETRANSMITTED_OUT_PKTS, NUM_PKTS_128_TO_256_BYTES, TCP_FLAGS",0.712707182320442,0.5248618784530387,0.18784530386740328,0.19849269662355148,-0.010647392756148205,0.2654143646408839,0.18574700667820138,-0.4176059800945577,0.62,False
Worms,20,"NUM_PKTS_512_TO_1024_BYTES, NUM_PKTS_128_TO_256_BYTES, SRC_TO_DST_IAT_AVG",0.9,0.65,0.25,0.12365629470401886,0.12634370529598116,0.249,0.23075744841716378,0.0043335545910188735,0.44,False
