Variant,seed,Accuracy,Precision,Recall,F1-score,MCC,PR-AUC(macro),PR-AUC(micro)
m4,1,0.8483413396175111,0.6022154006873399,0.6980035822223729,0.6008292930841741,0.6661422726136834,0.667803956405792,0.9335210127148849
m4,2,0.7847451962294933,0.5897866009572461,0.7126986450450606,0.5860805987065028,0.6190967631543601,0.6658092903199528,0.9040641320486934
m4,3,0.7756531541738421,0.5879843073722324,0.7064777306324856,0.5850855528224657,0.6063124192894197,0.6667173143052332,0.9061928454298886
m4,4,0.777179824163872,0.591394901171145,0.7070689229288138,0.5820469684944486,0.6043484347221181,0.6682395499076978,0.9122948322515307
m4,5,0.7864616378138313,0.5930309676554786,0.7078018368691382,0.5911863283429024,0.6216047347767955,0.6673054741097074,0.9088578668794189
m4g,1,0.7724128750113296,0.5845364481257406,0.6975937447405588,0.5813464245659878,0.5837869206519698,0.6725138633135687,0.8949977485469396
m4g,2,0.7572849632919424,0.5834881392878348,0.7018999544293424,0.5759159227124763,0.595300893618848,0.6612428014833978,0.8958968412770855
m4g,3,0.7682265702891325,0.589094401007626,0.6769635569244682,0.5745821580450199,0.5912823441306351,0.6589943755124381,0.8998185757653467
m4g,4,0.80395461343243,0.6056808349208088,0.6992968057285254,0.5979264135576648,0.6357868951440325,0.6733714136810375,0.9203216990869149
m4g,5,0.7906224508293301,0.5905459099363874,0.6999441062926857,0.5881152166927102,0.6236162868750001,0.6716175911175972,0.9149500874728503
m4m,1,0.8242091906099882,0.5863148131422238,0.6797730888990464,0.5783907595594531,0.6237837614624927,0.6533253139561832,0.9282224868005381
m4m,2,0.8348335674793801,0.6050718640366823,0.7034138846968154,0.6009662854917046,0.666419481975141,0.6705845310366392,0.928029951017876
m4m,3,0.7974174068702982,0.6013074049926735,0.7164973389251643,0.5931522596997922,0.6319057694217239,0.6765083279634974,0.9150402479914732
m4m,4,0.8188191108492704,0.5862456753042863,0.6656973697177895,0.579782095651335,0.6305928015173672,0.6462979004921684,0.9213358470062966
m4m,5,0.7690564669627481,0.5809180851676436,0.6521378706239558,0.5719985511498347,0.5741622993166334,0.6491376044245771,0.9065179664486238
nn_mlp,1,0.8038753059004804,0.6042171046337155,0.7312368593075358,0.5915537512933691,0.6308242483989371,0.6757843544969302,0.9150010246985041
nn_mlp,2,0.7681444303453276,0.6032919116670066,0.7138301737256934,0.5835748756791523,0.5996758363140186,0.6741313131884322,0.900261668403131
nn_mlp,3,0.8234444394090455,0.6098258225762596,0.7246679767291518,0.591541319339008,0.6492573276829242,0.6710629949893393,0.9202570650971612
nn_mlp,4,0.7906366128886069,0.5998133102990404,0.7199240156096894,0.5897642974613577,0.6239196132145026,0.6784508796820321,0.9077760529114707
nn_mlp,5,0.7998504486540379,0.6088685541301182,0.7289853453589377,0.5936075147404426,0.6307332199316878,0.6790478999720089,0.911840107576553
