Variant,seed,Accuracy,Precision,Recall,F1-score,MCC,PR-AUC(macro),PR-AUC(micro)
m4,1,0.965408393770063,0.3972108960750696,0.6018265794142413,0.4013194029686532,0.7361363383813468,0.4369303440849304,0.9947062641554708
m4,2,0.9636889192723814,0.4022101416079339,0.5990310379298507,0.3978950848202114,0.7233546669539134,0.431612322107232,0.9943089996928178
m4,3,0.9642031268576864,0.4054976341660684,0.6051567388470162,0.4004336152049735,0.7271394299137527,0.4496967093104974,0.9944677731774412
m4,4,0.9644750921412436,0.4056509461925034,0.602366650022313,0.4030608076688003,0.7292512661693021,0.4315544052177806,0.9943849817666396
m4,5,0.9647961003447866,0.4064080779379685,0.6047276860789585,0.4048366669876311,0.7316751027499809,0.4435765132448804,0.9942122824914436
m4g,1,0.9650101058138152,0.3966408831556408,0.6009802339309882,0.3977895179170314,0.733131240293444,0.4385495109106349,0.9940975545759084
m4g,2,0.9646311377957436,0.4110704413179805,0.6098788115653189,0.4072992804025743,0.7306585828590308,0.4439912791427277,0.994150516710086
m4g,3,0.9647203067411724,0.4090507357829671,0.6071815585391007,0.40705111456414,0.7315808430839562,0.4482621575015309,0.9937588736996078
m4g,4,0.964507787421234,0.4057380890598708,0.6034647015457091,0.4020781322901844,0.7296301538987945,0.4421457870438552,0.9932725791930276
m4g,5,0.9646965283557246,0.4091168785184786,0.6083824278202273,0.4058325340709544,0.7313646971896122,0.4558111386798312,0.994580525115086
m4m,1,0.9666745927951492,0.4194924070600794,0.6284296088687237,0.42211581894589284,0.7458130217124332,0.49778569595781896,0.9957640299445467
m4m,2,0.9660102841517061,0.41975666228240616,0.6258438731783543,0.4203026612341875,0.7409055092814295,0.49838911966754457,0.9957169966433452
m4m,3,0.9665185471406491,0.4258172617358298,0.6300983164945915,0.42565399280855487,0.7446759509154923,0.5021295921737794,0.9957441164646599
m4m,4,0.9655406610391154,0.4181777517551641,0.6226720451968275,0.4174628379651004,0.7372732243999742,0.48939109860154895,0.995603637149159
m4m,5,0.9657189989299727,0.4189107300875821,0.6213611520580401,0.4193733484014044,0.7386575526735827,0.4954285907302685,0.995596663293534
nn_mlp,1,0.9670030317441446,0.42373397905687343,0.6288626557753039,0.42377008480782496,0.7484497157593843,0.5013967047919701,0.9958203049029455
nn_mlp,2,0.966973308762335,0.4245674101323117,0.6281564010886542,0.42449080158828495,0.7482107038086135,0.4941653967136134,0.9957997238354026
nn_mlp,3,0.9671159790750208,0.42722692498237674,0.6286300139909696,0.4263576095955489,0.7492842639296396,0.5016085046905185,0.9958482469851844
nn_mlp,4,0.9669198073950779,0.42441802128793193,0.6310806355336779,0.4248286520256309,0.7478270627622796,0.5021109220149855,0.9958043010066078
nn_mlp,5,0.967263107834978,0.4218568390566643,0.6231638475691812,0.41937568317958257,0.7503385205648091,0.49784184132307396,0.9957712869168659
