dataset,kind,value,variant,tag,n_seeds,PR-AUC(macro)_mean,PR-AUC(macro)_std,F1-score_mean,F1-score_std,MCC_mean,MCC_std,Accuracy_mean,Accuracy_std,max_purity_err,all_homogeneous,share_deg1,share_deg2,share_deg3,share_deg4,share_deg5,share_deg6
ciciot2023,degree,2,m4,full_degree2,3,0.6554,0.0023,0.5814,0.0045,0.6257,0.035,0.8068,0.0438,0.0,True,0.7069,0.2931,,,,
ciciot2023,degree,3,m4,full_degree3,3,0.657,0.008,0.5799,0.0057,0.6284,0.0296,0.8088,0.0423,0.0,True,0.4807,0.2644,0.2549,,,
ciciot2023,degree,4,m4,full_degree4,3,0.6668,0.001,0.5907,0.0088,0.6305,0.0315,0.8029,0.0396,0.0,True,0.3955,0.3026,0.1478,0.1541,,
ciciot2023,degree,5,m4,full_degree5,3,0.6726,0.0005,0.5949,0.0103,0.6411,0.0341,0.812,0.0383,0.0,True,0.1882,0.2014,0.3336,0.1183,0.1585,
ciciot2023,degree,6,m4,full_degree6,3,0.6683,0.0045,0.5895,0.0034,0.6253,0.0025,0.8016,0.0175,2.9650828064855536e-35,True,0.1378,0.15,0.2961,0.1378,0.0673,0.211
nfunsw,degree,2,m4,full_degree2,3,0.3982,0.003,0.3793,0.0046,0.7206,0.0092,0.9633,0.0012,0.0,True,0.7444,0.2556,,,,
nfunsw,degree,3,m4,full_degree3,3,0.4144,0.0027,0.392,0.0037,0.7255,0.0092,0.964,0.0012,0.0,True,0.4349,0.4438,0.1213,,,
nfunsw,degree,4,m4,full_degree4,3,0.4394,0.0093,0.3999,0.0018,0.7289,0.0066,0.9644,0.0009,0.0,True,0.1327,0.1157,0.5429,0.2087,,
nfunsw,degree,5,m4,full_degree5,3,0.456,0.0077,0.4068,0.0034,0.7312,0.0029,0.9647,0.0004,0.0,True,0.123,0.13,0.3434,0.3071,0.0965,
nfunsw,degree,6,m4,full_degree6,3,0.458,0.003,0.4111,0.004,0.7352,0.0031,0.9653,0.0004,0.0,True,0.0813,0.153,0.2141,0.2255,0.2283,0.0978
